dest_id,address,geoRef.lat,geoRef.lng
1,"Avenida Churubusco 403, Constituyentes de Queretaro 6to Sector, San Nicolás de los Garza, Nuevo Leon",25.2683031,-100.0072762
2,"Avenida Circuito Frida Kahlo 195, Haciendas de La Sierra, San Pedro Garza García, N.L., México",25.26971347,-100.0077248
3,"Avenida Circuito Frida Kahlo 2222, Valle Oriente, San Pedro Garza García, Nuevo Leon",25.2733425,-100.0184588
4,"Avenida Circuito Frida Kahlo 2225, Haciendas de La Sierra, San Pedro Garza García, Nuevo Leon",25.2744189,-100.027226
5,"Avenida Ciudad de San Sebastián 6678, Cumbres de Santa Clara 3 Sector, Monterrey, N.L., México",25.2765927,-100.0304323
6,"Avenida Colonial de la Sierra 311, Colonial de La Sierra, San Pedro Garza García, Nuevo Leon",25.2782044,-100.0148553
7,"Avenida Colonial de la Sierra 318, Colonial de La Sierra, San Pedro Garza García, Nuevo Leon",25.27973116,-100.0191856
8,"Avenida Colonial de la Sierra 335, Colonial de La Sierra, San Pedro Garza García, N.L., México",25.2798363,-100.0295155
9,"Avenida Colonial de la Sierra 338, Colonial de La Sierra, San Pedro Garza García, Nuevo Leon",25.2813022,-100.0194052
10,"Avenida Colonial de la Sierra 344, Colonial de La Sierra, San Pedro Garza García, Nuevo Leon",25.2834041,-100.0214802
11,"avenida colonial de la sierra,Colonial La Sierra,San Pedro Garza García,Nuevo León,México",25.2846257,-100.0239934
12,"Avenida Concordia Oriente, No. 100, Privadas de Anáhuac, 66059 Monterrey, N.L.",25.28699939,-100.0300519
13,"Avenida Conductores 240, Constituyentes de Queretaro 3er Sector, San Nicolás de los Garza, Nuevo Leon",25.2980443,-100.0256941
14,"Avenida Conductores 740, Industrias del Vidrio 4to Sector, San Nicolás de los Garza, Nuevo Leon",25.2980443,-100.0256941
15,"Avenida Constelaciones 200, Contry, Monterrey, Nuevo Leon",25.30211865,-100.0343575
16,"Avenida Constituyentes de Nuevo León, Parque Industrial Regiomontano, Monterrey, N.L., México",25.31481171,-100.0463691
17,"Avenida Costa Rica 714, Prados de La Cieneguita, Apodaca, N.L.",25.353708,-100.094687
18,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.362373,-100.109245
19,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.36281586,-100.1019522
20,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3632792,-100.1037498
21,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.363284,-100.109084
22,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3640241,-100.1038054
23,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3640241,-100.1038054
24,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.364313,-100.103187
25,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3643131,-100.1031873
26,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3643172,-100.1031895
27,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3673044,-100.1090945
28,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.3707985,-100.1038893
29,"Avenida Cristóbal Colón 171, Sarabia, Monterrey, Nuevo Leon ",25.37107336,-100.1112356
30,"Avenida Cuauhtémoc 105, Residencial Cuauhtémoc, Santa Catarina, N.L. LAS PALMAS",25.3714975,-100.1067322
31,"Avenida Cuauhtémoc 455, Del Norte, Monterrey, Nuevo Leon",25.3716849,-100.1044297
32,"Avenida Damasco 408, Tréboles, Ciudad Apodaca, N.L.",25.3860321,-100.1120283
33,"AVENIDA DE LA CIMA 156 COLONIA CUMBRES 3ER SECTOR ,MONTERREY",25.3864862,-100.1144393
34,"Avenida de la Esperanza 211, Residencial La Hacienda, Ciudad Apodaca, Nuevo Leon",25.3888561,-100.1212487
35,"Avenida de la Esperanza 818, La Hacienda, 66636 Apodaca, N.L.",25.3908247,-100.1311096
36,"Avenida de la Juventud 210, Antiguo Nogalar, San Nicolás de los Garza, N.L.",25.391565,-100.1277746
37,"AVENIDA DE LAS MISIONES CENTRO 100 ,LAS MISIONES",25.3934256,-100.1354727
38,"Avenida de las Parras 123, Rincón de las Huertas, Santa Catarina, N.L.",25.3941614,-100.138338
39,"avenida de los Ángeles 306,Del Norte,Monterrey,Nuevo León,México",25.3986697,-100.1244572
40,"Avenida de los Astros 101, Barrio San Pedro, 64103, Monterrey, N.L.",25.40035223,-100.129653
41,"Avenida de los Astros 1338, Barrio Alameda, 64102 Monterrey, N.L.",25.4004233,-100.1298172
42,"Avenida de los Astros 1338, Barrio Alameda, 64102 Monterrey, N.L.",25.40074716,-100.1291538
